,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,fname,labels
0,39,116,569,375,13,cars_train/00001.jpg,Audi TTS Coupe 2012
1,36,116,868,587,2,cars_train/00002.jpg,Acura TL Sedan 2012
2,85,109,601,381,90,cars_train/00003.jpg,Dodge Dakota Club Cab 2007
3,621,393,1484,1096,133,cars_train/00004.jpg,Hyundai Sonata Hybrid Sedan 2012
4,14,36,133,99,105,cars_train/00005.jpg,Ford F-450 Super Duty Crew Cab 2012
5,259,289,515,416,122,cars_train/00006.jpg,Geo Metro Convertible 1993
6,88,80,541,397,88,cars_train/00007.jpg,Dodge Journey SUV 2012
7,73,79,591,410,95,cars_train/00008.jpg,Dodge Charger Sedan 2012
8,20,126,1269,771,166,cars_train/00009.jpg,Mitsubishi Lancer Sedan 2012
9,21,110,623,367,57,cars_train/00010.jpg,Chevrolet Traverse SUV 2012
10,51,93,601,393,48,cars_train/00011.jpg,Buick Verano Sedan 2012
11,6,62,499,286,185,cars_train/00012.jpg,Toyota Sequoia SUV 2012
12,30,36,418,307,134,cars_train/00013.jpg,Hyundai Elantra Sedan 2007
13,31,246,778,540,84,cars_train/00014.jpg,Dodge Caravan Minivan 1997
14,32,77,589,379,192,cars_train/00015.jpg,Volvo C30 Hatchback 2012
15,27,49,611,396,171,cars_train/00016.jpg,Plymouth Neon Coupe 1999
16,39,52,233,150,13,cars_train/00017.jpg,Audi TTS Coupe 2012
17,3,8,190,147,72,cars_train/00018.jpg,Chevrolet Malibu Sedan 2007
18,247,287,1366,761,191,cars_train/00019.jpg,Volkswagen Beetle Hatchback 2012
19,17,281,961,596,56,cars_train/00020.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007
20,17,156,695,375,78,cars_train/00021.jpg,Chrysler 300 SRT-8 2010
21,212,538,1893,1131,35,cars_train/00022.jpg,BMW M6 Convertible 2010
22,11,28,476,234,119,cars_train/00023.jpg,GMC Yukon Hybrid SUV 2012
23,53,126,973,621,169,cars_train/00024.jpg,Nissan Juke Hatchback 2012
24,34,87,567,343,193,cars_train/00025.jpg,Volvo 240 Sedan 1993
25,30,174,598,379,133,cars_train/00026.jpg,Hyundai Sonata Hybrid Sedan 2012
26,80,107,606,336,183,cars_train/00027.jpg,Suzuki SX4 Sedan 2012
27,45,115,585,382,85,cars_train/00028.jpg,Dodge Ram Pickup 3500 Crew Cab 2010
28,28,139,1564,1126,179,cars_train/00029.jpg,Spyker C8 Coupe 2009
29,82,109,874,521,193,cars_train/00030.jpg,Volvo 240 Sedan 1993
30,55,318,446,564,153,cars_train/00031.jpg,Land Rover Range Rover SUV 2012
31,12,31,471,350,138,cars_train/00032.jpg,Hyundai Elantra Touring Hatchback 2012
32,34,197,1011,656,65,cars_train/00033.jpg,Chevrolet Cobalt SS 2010
33,37,63,614,397,132,cars_train/00034.jpg,Hyundai Veracruz SUV 2012
34,223,87,1111,670,153,cars_train/00035.jpg,Land Rover Range Rover SUV 2012
35,138,41,521,223,103,cars_train/00036.jpg,Ferrari 458 Italia Coupe 2012
36,31,87,616,344,37,cars_train/00037.jpg,BMW Z4 Convertible 2012
37,16,89,459,326,96,cars_train/00038.jpg,Dodge Charger SRT-8 2009
38,53,113,614,350,104,cars_train/00039.jpg,Fisker Karma Sedan 2012
39,214,110,660,403,141,cars_train/00040.jpg,Infiniti QX56 SUV 2011
40,61,55,566,408,12,cars_train/00041.jpg,Audi A5 Coupe 2012
41,28,61,622,371,190,cars_train/00042.jpg,Volkswagen Golf Hatchback 1991
42,22,39,588,362,118,cars_train/00043.jpg,GMC Savana Van 2012
43,220,193,537,364,37,cars_train/00044.jpg,BMW Z4 Convertible 2012
44,12,108,489,297,185,cars_train/00045.jpg,Toyota Sequoia SUV 2012
45,28,80,759,466,24,cars_train/00046.jpg,Audi TT RS Coupe 2012
46,84,248,1102,899,193,cars_train/00047.jpg,Volvo 240 Sedan 1993
47,142,69,753,451,176,cars_train/00048.jpg,Rolls-Royce Phantom Sedan 2012
48,166,543,887,903,172,cars_train/00049.jpg,Porsche Panamera Sedan 2012
49,20,96,564,341,41,cars_train/00050.jpg,Bentley Continental GT Coupe 2012
50,41,181,607,465,90,cars_train/00051.jpg,Dodge Dakota Club Cab 2007
51,39,29,774,395,147,cars_train/00052.jpg,Jeep Grand Cherokee SUV 2012
52,161,191,425,307,14,cars_train/00053.jpg,Audi R8 Coupe 2012
53,58,562,1528,1081,96,cars_train/00054.jpg,Dodge Charger SRT-8 2009
54,80,120,582,391,41,cars_train/00055.jpg,Bentley Continental GT Coupe 2012
55,32,48,472,267,52,cars_train/00056.jpg,Cadillac Escalade EXT Crew Cab 2007
56,260,138,972,439,43,cars_train/00057.jpg,Bentley Continental Flying Spur Sedan 2007
57,11,35,256,173,64,cars_train/00058.jpg,Chevrolet Avalanche Crew Cab 2012
58,68,91,607,354,89,cars_train/00059.jpg,Dodge Dakota Crew Cab 2010
59,129,120,345,269,123,cars_train/00060.jpg,HUMMER H3T Crew Cab 2010
60,11,104,1011,742,113,cars_train/00061.jpg,Ford F-150 Regular Cab 2007
61,19,21,425,265,189,cars_train/00062.jpg,Volkswagen Golf Hatchback 2012
62,175,330,928,647,100,cars_train/00063.jpg,Ferrari FF Coupe 2012
63,97,39,925,700,186,cars_train/00064.jpg,Toyota Camry Sedan 2012
64,63,175,417,320,7,cars_train/00065.jpg,Aston Martin V8 Vantage Convertible 2012
65,30,39,221,125,16,cars_train/00066.jpg,Audi 100 Sedan 1994
66,129,89,594,432,110,cars_train/00067.jpg,Ford Ranger SuperCab 2011
67,32,43,598,350,121,cars_train/00068.jpg,GMC Canyon Extended Cab 2012
68,142,124,675,445,4,cars_train/00069.jpg,Acura TSX Sedan 2012
69,220,313,1054,976,28,cars_train/00070.jpg,BMW 3 Series Sedan 2012
70,8,12,639,299,125,cars_train/00071.jpg,Honda Odyssey Minivan 2012
71,92,271,1178,749,93,cars_train/00072.jpg,Dodge Durango SUV 2012
72,15,12,314,230,105,cars_train/00073.jpg,Ford F-450 Super Duty Crew Cab 2012
73,14,12,309,223,105,cars_train/00074.jpg,Ford F-450 Super Duty Crew Cab 2012
74,45,74,522,253,187,cars_train/00075.jpg,Toyota Corolla Sedan 2012
75,12,27,284,166,58,cars_train/00076.jpg,Chevrolet Camaro Convertible 2012
76,25,25,3502,2017,109,cars_train/00077.jpg,Ford Edge SUV 2012
77,36,88,611,417,42,cars_train/00078.jpg,Bentley Continental GT Coupe 2007
78,165,126,749,425,132,cars_train/00079.jpg,Hyundai Veracruz SUV 2012
79,20,21,292,217,110,cars_train/00080.jpg,Ford Ranger SuperCab 2011
80,10,55,540,271,7,cars_train/00081.jpg,Aston Martin V8 Vantage Convertible 2012
81,63,113,597,413,191,cars_train/00082.jpg,Volkswagen Beetle Hatchback 2012
82,55,48,294,205,17,cars_train/00083.jpg,Audi 100 Wagon 1994
83,27,67,620,474,115,cars_train/00084.jpg,Ford E-Series Wagon Van 2012
84,15,80,629,402,48,cars_train/00085.jpg,Buick Verano Sedan 2012
85,119,300,1416,871,144,cars_train/00086.jpg,Jeep Patriot SUV 2012
86,17,36,455,215,48,cars_train/00087.jpg,Buick Verano Sedan 2012
87,171,176,2373,1751,169,cars_train/00088.jpg,Nissan Juke Hatchback 2012
